GENERIC NAME,STRENGTH,BRAND NAME
ACETAMINOPHEN,(+CAFFEINE+CODEINE 8 MG),TYLENOL #1
ACETAMINOPHEN,(+CAFFEINE+CODEINE 15 MG),TYLENOL #2
ACETAMINOPHEN,(+CAFFEINE+CODEINE 30 MG),TYLENOL #3
ACETAMINOPHEN,(+CODEINE 60 MG),TYLENOL #4
ACETAMINOPHEN,CHEWABLE 80 MG TAB,TYLENOL CHEW TABS
ACETAMINOPHEN,SUSP 160 MG/5 ML 100 ML BTL,TYLENOL SUSP.
ACETAZOLAMIDE,250 MG TAB,DIAMOX
ACETAZOLAMIDE,INJ 500 MG VIAL,DIAMOX
ACETIC ACID,1% SOLN 1000 ML BTL COMPD,
ACETIC ACID,3% SOLN 500 ML BTL COMPD,
ACETIC ACID,5% SOLN  4 L BTL,
ACETIC ACID,6% SOLN 500 ML BTL COMPD,
ACETYLCHOLINE,CHLORIDE 1% EYE SOLN 20 MG/2 ML VIAL,MIOCHOL-E
ACETYLCYSTEINE,INJ 200 MG/ML 10 ML VIAL,MUCOMYST
ACLIDINIUM,400 MCG/PUFF 60 DOSE INHALER,TUDORZA GENUAIR
ACRIFLAVINE,NEUTRAL CRYSTALS 25 GM BTL,
ACYCLOVIR,INJ 50 MG/ML 10 ML VIAL,ACYCLOVIR
ACYCLOVIR,200 MG TAB,ZOVIRAX
ACYCLOVIR,400 MG TAB,ZOVIRAX
ACYCLOVIR,5% CREAM 5 GM TUBE,ZOVIRAX
ACYCLOVIR,800 MG TAB,ZOVIRAX
ACYCLOVIR,IV 500 MG/100 ML D5W BAG,ZOVIRAX
ACYCLOVIR,SUSP 200 MG/5 ML 475 ML BTL,ZOVIRAX
ACYCLOVIR,5% OINT 4 GM TUBE,ZOVIRAX 5% OINT
ADENOSINE,INJ 12 MG/4 ML PFS,ADENOCARD
ADENOSINE,INJ 3 MG/ML 2 ML VIAL,ADENOCARD
ADENOSINE,INJ 6 MG/2 ML PFS,ADENOCARD
ALCOHOL,ABSOLUTE 100% INJ 10 ML AMP,ALCOHOL ANHYDROUS
ALENDRONATE,10 MG TAB,FOSAMAX
ALENDRONATE,40 MG TAB,FOSAMAX
ALENDRONATE,5 MG TAB,FOSAMAX
ALENDRONATE,70 MG TAB,FOSAMAX
ALFACALCIDOL,0.25 MCG CAP,ONE ALPHA
ALFACALCIDOL,1 MCG CAP,ONE-ALPHA
ALFACALCIDOL,LIQ 2 MCG/ML 10 ML BTL,ONE-ALPHA
ALFENTANIL,INJ 500 MCG/ML 2 ML AMP/VIAL,ALFENTA
ALGINIC ACID,ALGINIC ACID+ALUMINUM HYDROX. SUSP 250+100 MG/5 ML 340,GAVISCON
ALGINIC ACID,ALGINIC ACID+MAGNESIUM CARB. 200/40 MG CHEW TAB,GAVISCON
ALGINIC ACID,ALGINIC ACID+MAGNESIUM CARB. 313/63 MG EXTRA STR CHEW TAB,GAVISCON
ALLOPURINOL,100 MG TAB,ZYLOPRIM
ALLOPURINOL,200 MG TAB,ZYLOPRIM
ALLOPURINOL,300 MG TAB,ZYLOPRIM
ALPRAZOLAM,0.25 MG TAB,XANAX
ALPRAZOLAM,0.5 MG TAB,XANAX
ALPRAZOLAM,2 MG TAB,XANAX
ALPRAZOLAM,1 MG TAB,XANAX (100s)
ALPROSTADIL,INJ 20 MCG/ML PFS,CAVERJECT
ALPROSTADIL,INJ 500 MCG/ML AMP,PROSTIN VR
ALTEPLASE,INJ 100 MG VIAL,ACTIVASE
ALTEPLASE,INJ 2 MG/2 ML PFS,ACTIVASE
ALTEPLASE,INJ 50 MG VIAL,ACTIVASE
ALTEPLASE,INJ 2 MG VIAL,CATHFLO
ALUMINUM,ALUMINUM+MAGNESIUM+SIMETHICONE LIQ 350 ML BTL,ALMAGEL PLUS
ALUMINUM,ALUMINUM+MAGNESIUM HYDROX. SUSP 350 ML BTL,ALMAGEL/DIOVOL/MAALOX
ALUMINUM,POTASSIUM SULFATE POWDER 500 GM BTL,ALUM
ALUMINUM,HYDROXIDE 600 MG TAB,AMPHOJEL
ALUMINUM,HYDROXIDE GEL SUSP 320 MG/5 ML 425 ML BTL,AMPHOJEL
ALUMINUM,ALUMINUM+MAGNESIUM HYDROX. 200/200 MG CHEW TAB,GELUSIL
ALUMINUM,ACETATE 5% SOLN 475 ML BTL,
ALUMINUM HYDROXIDE,ALGINIC ACID+ALUMINUM HYDROX. SUSP 250+100 MG/5 ML 340,GAVISCON
AMANTADINE,100 MG CAP,ENDANTADINE
AMANTADINE,SYRUP 50 MG/5 ML 500 ML BTL,SYMMETREL
AMIKACIN,DILUTE INJ 5 MG/ML  10 ML VIAL,AMIKIN
AMIKACIN,INJ 250 MG/ML 2 ML VIAL,AMIKIN
AMILORIDE,5 MG TAB,MIDAMOR
AMILORIDE,5 MG TAB (+HYDROCHLOROTHIAZIDE 50 MG),MODURET
AMINO ACIDS,10% 1000 ML BAG [AMINOSYN-PF 10%],AMINOSYN-PF 10%
AMINO ACIDS,3%+D10W+LYTES 300 ML BAG,STANDARD TPN
AMINO ACIDS,3%+D10W/no LYTES 300 ML BAG,STARTER TPN
AMINO ACIDS,10%/no LYTES 250 ML BAG,TRAVASOL
AMINO ACIDS,10%/no LYTES 3000 ML BAG,TRAVASOL
AMINO ACIDS,10%+LYTES 1000 ML BAG,TRAVASOL
AMINO ACIDS,8.5%/no LYTES 500 ML BAG,TRAVASOL
AMINO ACIDS,10%+D40W 1:1 1000 ML,TRAVASOL 10%/D40W
AMINO ACIDS,4.25%+D25W/no LYTES 1000 ML BAG,TRAVASOL 4.25%/D25W
AMINO ACIDS,"4.25%+D10W+LYTES 1,000 ML BAG",TRAVASOL 4.25%/ELEC/D10W
AMINO ACIDS,"4.25%+D25W+LYTES 1,000 ML BAG",TRAVASOL 4.25%/ELEC/D25W
AMINO ACIDS,"5%+D10W/no LYTES 2,000 ML BAG",TRAVASOL 5%/D10W
AMINO ACIDS,"5%+D10W/no LYTES 1,000 ML BAG",TRAVASOL 5%/D10W CLINIMIX
AMINO ACIDS,"5%+D16.6W/no LYTES 1,500 ML BAG",TRAVASOL 5%/D16W
AMINO ACIDS,5%+D16.6W/no LYTES 1000 ML DUPLEX BAG,TRAVASOL 5%/D16W
AMINO ACIDS,"5%+D16.6W/no LYTES 2,000 ML BAG",TRAVASOL 5%/D16W
AMINO ACIDS,5%+D20W+LYTES 1000 ML DUPLEX BAG,TRAVASOL 5%/D20W CLINIMIX
AMINO ACIDS,"5%+D20W/no LYTES 1,000 ML BAG",TRAVASOL 5%/D20W QUICKMIX
AMINO ACIDS,"5%+D25W/no LYTES 2,000 ML BAG",TRAVASOL 5%/D25W CLINIMIX
AMINO ACIDS,5%+D25W+LYTES 1000 ML DUPLEX BAG,TRAVASOL 5%/D25W CLINIMIX
AMINO ACIDS,5%+D25W+LYTES 2000 ML DUPLEX BAG,TRAVASOL 5%/D25W CLINIMIX
AMINO ACIDS,5%+D25W/no LYTES 1000 ML DUPLEX BAG,TRAVASOL 5%/D25W QUICKMIX
AMINO ACIDS,5%+D5W/no LYTES 1000 ML BAG,TRAVASOL 5%/D5W QUICKMIX
AMINO ACIDS,"5%+D10W+LYTES 1,000 ML BAG",TRAVASOL 5%/ELEC/D10W
AMINO ACIDS,"5%+D16.6W+LYTES 1,000 ML BAG",TRAVASOL 5%/ELEC/D16W
AMINO ACIDS,5%+D16.6W+LYTES 2000 ML DUPLEX BAG,TRAVASOL 5%/ELEC/D16W
AMINO ACIDS,"6%+D20W/no LYTES 2,000 ML BAG",Travasol 6%/D20W
AMINO ACIDS,8.5%+D20W 1:1 1000 ML,TRAVASOL 8.5%/D20W
AMINO ACIDS,8.5%+D50W 1:1 1000 ML,TRAVASOL 8.5%/D50W
AMINO ACIDS,4.25%+D10W/no LYTES 1000 ML BAG,TRAVASOL/DEXTROSE
AMINO ACIDS,7%+LYTES INJ 1000 ML BTL,VAMIN N (1000 ML)
AMINOPHYLLINE,INJ 25 MG/ML 20 ML AMP,AMINOPHYLLINE
AMINOPHYLLINE,INJ 50 MG/ML 10 ML AMP,AMINOPHYLLINE
AMINOPHYLLINE,IV 50 MG/ML 500 ML BAG,
AMINOSYN-PF,[A] NEONATAL TPN 300 ML BAG,
AMINOSYN-PF,[B] NEONATAL TPN 300 ML BAG,
AMINOSYN-PF,[C] NEONATAL TPN 200 ML BAG,
AMIODARONE,200 MG TAB,CORDARONE
AMIODARONE,INJ 50 MG/ML 6 ML VIAL,CORDARONE
AMITRIPTYLINE,10 MG TAB,ELAVIL
AMITRIPTYLINE,25 MG TAB,ELAVIL
AMITRIPTYLINE,50 MG TAB,ELAVIL
AMITRIPTYLINE,75 MG TAB,ELAVIL
AMLODIPINE,10 MG TAB,NORVASC
AMLODIPINE,2.5 MG TAB,NORVASC
AMLODIPINE,5 MG TAB,NORVASC
AMOXICILLIN,250 MG CAP,AMOXIL
AMOXICILLIN,500 MG CAP,AMOXIL
AMOXICILLIN,SUSP 125 MG/5 ML 100 ML BTL,AMOXIL
AMOXICILLIN,SUSP 250 MG/5 ML 100 ML BTL,AMOXIL
AMOXICILLIN,AMOXICILLIN+CLAVULANATE 250/125 MG TAB,CLAVULIN
AMOXICILLIN,AMOXICILLIN+CLAVULANATE 500/125 MG TAB,CLAVULIN
AMOXICILLIN,AMOXICILLIN+CLAVULANATE 875/125 MG TAB,CLAVULIN
AMOXICILLIN,AMOXICILLIN+CLAVULANATE SUSP 125+31.25 MG/5 ML 100 ML B,CLAVULIN
AMOXICILLIN,AMOXICILLIN+CLAVULANATE SUSP 200+28.5 MG/5 ML 70 ML BTL,CLAVULIN
AMOXICILLIN,AMOXICILLIN+CLAVULANATE SUSP 250+62.5 MG/5 ML 100 ML BT,CLAVULIN
AMOXICILLIN,AMOXICILLIN+CLAVULANATE SUSP 400+57 MG/5 ML 70 ML BTL,CLAVULIN
AMOXICILLIN,SUSP 125 MG/5 ML w/o SUGAR 100 ML BTL,NOVAMOXIN
AMOXICILLIN,SUSP 250 MG/5 ML w/o SUGAR 100 ML BTL,NOVAMOXIN
AMPHETAMINE,AMPHETAMINE+DEXTROAMPHETAMINE SR 10 MG CAP,ADDERALL
AMPHETAMINE,AMPHETAMINE+DEXTROAMPHETAMINE SR 30 MG CAP,ADDERALL
AMPHETAMINE,AMPHETAMINE+DEXTROAMPHETAMINE SR 5 MG CAP,ADDERALL
AMPHETAMINE,AMPHETAMINE+DEXTROAMPHETAMINE SR 10 MG CAP,ADDERALL XR
AMPHETAMINE,AMPHETAMINE+DEXTROAMPHETAMINE SR 30 MG CAP,ADDERALL XR
AMPHETAMINE,AMPHETAMINE+DEXTROAMPHETAMINE SR 5 MG CAP,ADDERALL XR
AMPHOTERICIN B,LIPID COMPLEX INJ 5 MG/ML 20 ML VIAL,ABELCET
AMPHOTERICIN B,LIPOSOMAL INJ 50 MG VIAL,AMBISOME
AMPHOTERICIN B,DILUTE INJ 0.1 MG/ML 20 ML VIAL,FUNGIZONE
AMPHOTERICIN B,INJ 50 MG VIAL,FUNGIZONE
AMPHOTERICIN B,POWDER 25 GM BTL,
AMPICILLIN,INJ 1000 MG VIAL,AMPICIN
AMPICILLIN,INJ 2000 MG VIAL,AMPICIN
AMPICILLIN,INJ 250 MG VIAL,AMPICIN
AMPICILLIN,INJ 500 MG VIAL,AMPICIN
AMPICILLIN,IV 1000 MG/50 ML NS MB.PLUS,AMPICIN
AMPICILLIN,IV 2000 MG/100 ML NS MB.PLUS,AMPICIN
AMPICILLIN,IV 250 MG/50 ML NS MB.PLUS,AMPICIN
AMPICILLIN,IV 500 MG/50 ML NS MB.PLUS,AMPICIN
AMYLASE,LIPASE+AMYLASE+PROTEASE 4/11/11 EC CAP,COTAZYM
AMYLASE,LIPASE+AMYLASE+PROTEASE 8/30/30 CAP,COTAZYM
AMYLASE,LIPASE+AMYLASE+PROTEASE 8/30/30 EC CAP,COTAZYM
AMYLASE,LIPASE+AMYLASE+PROTEASE EC 20/55/55 CAP,COTAZYM
AMYLASE,LIPASE+AMYLASE+PROTEASE 4.5/20/25 CAP,ULTRASE
AMYLASE,LIPASE+AMYLASE+PROTEASE 8/30/30 TAB,VIOKASE
ANTHRALIN,POWDER 5 GM BTL,
ANTIDOTE,CYANIDE ANTIDOTE KIT,CYANIDE
"ANTIVENIN, BLACK WIDOW SPIDER",INJ 6000 UNITS VIAL,ANTIVENOM
APRACLONIDINE,0.5% EYE DROPS 5 ML BTL,IOPIDINE
AQUEOUS,CREAM 454 GM JAR,
ARGININE,HCL 250 MG/ML  30 ML VIAL,L-ARGININE
ARGININE,POWDER 100 GM BTL,L-ARGININE
ASA,DIPYRIDAMOLE SR+A.S.A. 200/25 MG CAP,AGGRENOX
ASA,150 MG SUPP,ASPIRIN
ASA,325 MG SUPP,ASPIRIN
ASA,325 MG TAB,ASPIRIN
ASA,650 MG SUPP,ASPIRIN
ASA,80 MG CHEW TAB,ASPIRIN
ASA,325 MG TAB,ASPIRIN
ASA,650 MG TAB,ASPIRIN
ASA,80 MG TAB,ASPIRIN
ASA,81 MG TAB,ASPIRIN
ASCORBIC ACID,"1,000 MG TAB",VITAMIN C
ASCORBIC ACID,100 MG TAB,VITAMIN C
ASCORBIC ACID,250 MG CHEW TAB,VITAMIN C
ASCORBIC ACID,250 MG TAB,VITAMIN C
ASCORBIC ACID,500 MG CHEW TAB,VITAMIN C
ASCORBIC ACID,500 MG TAB,VITAMIN C
ASCORBIC ACID,INJ 250 MG/ML 2 ML AMP,VITAMIN C
ASCORBIC ACID,INJ 500 MG/ML 50 ML VIAL,VITAMIN C
ASPARAGINASE-ERWINIA,"INJ 10,000 UNITS VIAL",ERWINASE
ASPERGILLUS SKIN TEST,INJ 5 ML VIAL,ASPERGILLUS SKIN TEST
ATENOLOL,100 MG TAB,TENORMIN
ATENOLOL,25 MG TAB,TENORMIN
ATENOLOL,50 MG TAB,TENORMIN
ATORVASTATIN,10 MG TAB,LIPITOR
ATORVASTATIN,20 MG TAB,LIPITOR
ATORVASTATIN,40 MG TAB,LIPITOR
ATORVASTATIN,80 MG TAB,LIPITOR
ATRACURIUM,INJ 10 MG/ML 10 ML VIAL,ATRACURIUM
ATROPINE,INJ 0.5 MG/5 ML PFS,ATROPINE SULFATE LIFESHIELD
ATROPINE,INJ 1 MG/10 ML PFS,ATROPINE SULFATE LIFESHIELD
ATROPINE,1% EYE DROPS 5 ML BTL,ISOPTO ATROPINE
ATROPINE,DIPHENOXYLATE+ATROPINE 2.5/0.025 MG TAB,LOMOTIL
ATROPINE,INJ 0.4 MG/ML AMP,
ATROPINE,INJ 0.6 MG/ML AMP,
ATROPINE,INJ 1 MG/ML AMP,
ATTAPULGITE,SUSP 600 MG/15 ML 250 ML BTL,KAOPECTATE
ATTAPULGITE,SUSP 750 MG/15 ML 250 ML BTL,KAOPECTATE
AUROTHIOMALATE,INJ 25 MG/ML AMP,MYOCHRISINE
AUROTHIOMALATE,INJ 10 MG/ML AMP,MYOCHRYSINE
AUROTHIOMALATE,INJ 50 MG/ML AMP,MYOCHRYSINE
AZATHIOPRINE,12.5 MG PARTTAB,IMURAN
AZATHIOPRINE,25 MG PARTTAB,IMURAN
AZATHIOPRINE,50 MG TAB,IMURAN
AZATHIOPRINE,INJ 50 MG VIAL,IMURAN
AZITHROMYCIN,250 MG TAB,ZITHROMAX
AZITHROMYCIN,600 MG TAB,ZITHROMAX
AZITHROMYCIN,INJ 500 MG VIAL,ZITHROMAX
AZITHROMYCIN,IV 250 MG/250 ML D5W BAG,ZITHROMAX
AZITHROMYCIN,IV 500 MG/250 ML D5W MB.PLUS,ZITHROMAX
AZITHROMYCIN,LIQ 100 MG/5 ML 15 ML BTL,ZITHROMAX
AZITHROMYCIN,LIQ 200 MG/5 ML 15 ML BTL,ZITHROMAX
AZITHROMYCIN,LIQ 200 MG/5 ML 22.5 ML BTL,ZITHROMAX
AZITHROMYCIN,STD 250 MG TAB,ZITHROMAX
AZITHROMYCIN,STD 250 MG TAB,ZITHROMAX
BACITRACIN,500 U/GM OINT 15 GM TUBE,BACITIN
BACITRACIN,500 U/GM OINT 3O GM TUBE,BACITIN
BACITRACIN,500 UNITS/GM OINT 450 GM GM,BACITIN
BACITRACIN,"INJ 50,000 UNITS VIAL",BACITRACIN
BACITRACIN,POWDER 5 GM BTL,
BACLOFEN,10 MG TAB,LIORESAL
BACLOFEN,20 MG TAB,LIORESAL
BACLOFEN,0.05 MG/ML INTRATHECAL 1 ML AMP,LIORESAL INTRATHECAL
BACLOFEN,0.5 MG/ML INTRATHECAL 20 ML VIAL,LIORESAL INTRATHECAL
BACLOFEN,2 MG/ML INTRATHECAL 5 ML VIAL,LIORESAL INTRATHECAL
BACLOFEN,POWDER 5 GM BTL,
BCG,BCG VACCINE INJ 81 MG VIAL,IMMUCYST
BCG,BCG VACCINE 50 MG VIAL,ONCOTICE
BCG,BCG VACCINE 50 MG VIAL CHEMO IRR.,ONCOTICE
BCG,BCG VACCINE 120 MG AMP,PACIS
BELLADONNA,BELLADONNA 15 MG+OPIUM 65 MG SUPP,OPIUM & BELLADONNA
BENSERAZIDE,LEVODOPA+BENSERAZIDE 100/25 MG CAP,PROLOPA
BENSERAZIDE,LEVODOPA+BENSERAZIDE 200/50 MG CAP,PROLOPA
BENSERAZIDE,LEVODOPA+BENSERAZIDE 50/12.5 MG CAP,PROLOPA
BENZOCAINE,10% ORAL GEL 7 GM TUBE,ANBESOL GEL
BENZOCAINE,20% AERO 60 ML CAN,HURRICAINE
BENZOCAINE,20% AERO 60 ML KIT,HURRICAINE
BENZOCAINE,20% TOPICAL GEL 28.4 GM TUBE,HURRICAINE
BENZOCAINE,20% ORAL GEL 9.5 GM TUBE,ORAJEL
BENZOCAINE,10% ORAL GEL 5.3 GM TUBE,ORAJEL REG STR
BENZOYL PEROXIDE,10% WASH GEL 225 GM BTL,BENZAC W 10
BENZOYL PEROXIDE,5% WASH GEL 225 GM TUBE,BENZAC W 5
BENZOYL PEROXIDE,10% GEL 60 GM TUBE,BENZAGEL 10
BENZOYL PEROXIDE,5% GEL 60 GM TUBE,BENZAGEL 5
BENZOYL PEROXIDE,20% GEL 60 GM TUBE,PANOXYL
BENZTROPINE,1 MG TAB,COGENTIN
BENZTROPINE,2 MG TAB,COGENTIN
BENZTROPINE,INJ 1 MG/ML 2 ML AMP,COGENTIN
BENZYDAMINE,0.15% ORAL RINSE 100 ML BTL,TANTUM
BENZYDAMINE,0.15% ORAL RINSE 250 ML BTL,TANTUM
BENZYLPENICILLOYL,POLYLYSINE INJ 0.25 ML AMP,Pre-pen
BETAHISTINE,16 MG TAB,SERC
BETAHISTINE,24 MG TAB,SERC
BETAMETHASONE,0.1% CRM 15 GM TUBE,BETADERM
BETAMETHASONE,0.1% OINT 15 GM TUBE,BETADERM
BETAMETHASONE,0.1% OINT 454 GM JAR,BETADERM
BETAMETHASONE,INJ 6 MG/ML 5 ML VIAL,BETAJECT
BETAMETHASONE,POWDER,BETAMETHASONE
BETAMETHASONE,ENEMA 0.05 MG/ML 100 ML BTL,BETNESOL
BETAMETHASONE,0.1% CRM BULK JAR,BETNOVATE
BETAMETHASONE,INJ 6 MG/ML 1 ML VIAL,CELESTONE
BETAMETHASONE,0.1% LOTION 60 ML BTL,ECTOSONE
BETAMETHASONE,0.1% LOTN 30 ML BTL,ECTOSONE
BETAMETHASONE,0.1% SCALP LOTN 30 ML BTL,ECTOSONE
BETAMETHASONE,0.1% SCALP LOTN 75 ML BTL,ECTOSONE
BETAMETHASONE,BETAMETHASONE 1%+BETAMETHASONE 0.05% CRM 15 GM TUBE,LOTRIDERM
BETAMETHASONE,BETAMETHASONE 1%+BETAMETHASONE 0.05% CRM 50 GM TUBE,LOTRIDERM
BETAMETHASONE,0.1% CRM 30 GM TUBE,PREVEX B
BETAXOLOL,0.25% EYE DROPS 5 ML BTL,BETOPTIC-S
BETHANECHOL,50 MG TAB,DUVOID
BETHANECHOL,10 MG TAB,URECHOLINE
BETHANECHOL,25 MG TAB,URECHOLINE
BISACODYL,EC 5 MG TAB,DULCOLAX
BISACODYL,10 MG SUPP,DULCOLAX SUPP
BISACODYL,5 MG SUPP,DULCOLAX SUPP
BISMUTH SUBGALLATE,200 MG CHEW TAB,DEVROM
BISMUTH SUBGALLATE,POWDER  100 GM BTL,
BISMUTH SUBNITRATE,POWDER 100 GM BTL,
BISMUTH SUBSALICYLATE,262 MG TAB,PEPTO BISMOL
BISMUTH SUBSALICYLATE,SUSP 88 MG/5 ML 230 ML BTL,PEPTO-BISMOL
BISOPROLOL,10 MG TAB,MONOCOR
BISOPROLOL,5 MG TAB,MONOCOR
BOVINE LIPID EXTRACT,27 MG/ML 3 ML VIAL,BLES
BOVINE LIPID EXTRACT,27 MG/ML 5 ML VIAL,BLES
BRILLIANT GREEN,25 GM TOPICAL CRYSTAL,
BRIMONIDINE,0.15% EYE DROPS 5 ML BTL,ALPHAGAN
BRIMONIDINE,0.2% EYE DROPS 10 ML BTL,ALPHAGAN
BRIMONIDINE,0.2% EYE DROPS 5 ML BTL,ALPHAGAN
BRINZOLAMIDE,1% EYE DROPS 5 ML BTL,AZOPT
BROMOCRIPTINE,2.5 MG TAB,PARLODEL
BROMOCRIPTINE,5 MG CAP,PARLODEL
BUDESONIDE,SR 3 MG CAP,ENTOCORT
BUDESONIDE,INH.SUSP 0.125 MG/ML 2 ML NEBULE,PULMICORT
BUDESONIDE,INH.SUSP 0.25 MG/ML 2 ML NEBULE,PULMICORT
BUDESONIDE,INH.SUSP 0.5 MG/ML 2 ML NEBULE,PULMICORT
BUDESONIDE,100 MCG/PUFF 200 DOSE TURBUHALER,PULMICORT-100
BUDESONIDE,200 MCG/PUFF 100 DOSE TURBUHALER,PULMICORT-200
BUDESONIDE,200 MCG/PUFF 200 DOSE TURBUHALER,PULMICORT-200
BUDESONIDE,400 MCG/PUFF 200 DOSE TURBUHALER,PULMICORT-400
BUDESONIDE,BUDESONIDE+FORMOTEROL 100/6 MCG/PUFF 120 DOSE TURBUHALER,SYMBICORT
BUDESONIDE,BUDESONIDE+FORMOTEROL 200/6 MCG/PUFF 60/120 DOSE TURBUHALER,SYMBICORT
BUMETANIDE,1 MG TAB,BURINEX
BUMETANIDE,2 MG TAB,BURINEX
BUMETANIDE,5 MG TAB,BURINEX
BUPIVACAINE,POWDER 25 GM BTL,BUPIVACAINE POWDER
BUPIVACAINE,0.25% INJ 20 ML VIAL,MARCAINE
BUPIVACAINE,0.5% INJ 20 ML VIAL,MARCAINE
BUPIVACAINE,0.5%+EPINEPHRINE INJ 20 ML VIAL,MARCAINE
BUPIVACAINE,0.75% INJ 20 ML VIAL,MARCAINE
BUPIVACAINE,0.5%+EPINEPHRINE 1.8 ML CARPULE,MARCAINE 0.5%/EPI 1:200000
BUPIVACAINE,0.25% INJ 50 ML VIAL,MARCAINE 2.5MG/ML VIAL
BUPIVACAINE,0.5% INJ 50 ML VIAL,MARCAINE 5MG/ML VIAL
BUPIVACAINE,0.75%+DEXTROSE 8.25% SPINAL INJ 2 ML AMP,MARCAINE SPINAL
BUPIVACAINE,0.5% INJ 10 ML VIAL,SENSORCAINE
BUPIVACAINE,0.25% INJ 10 ML VIAL,SENSORCAINE 0.25% VIAL
BUPIVACAINE,0.25%+EPINEPHRINE INJ 20 ML VIAL,SENSORCAINE/EPINEPHRINE
BUPIVACAINE,BUPIVACAINE 0.08%+FENTANYL 2mcg/mL+EPIN. EPID 250 ML BAG,
BUPIVACAINE,BUPIVACAINE 0.08%+MORPHINE 0.05 MG/ML+EPIN. EPID 250 ML BAG,
BUPIVACAINE,0.05%+HYDROMORPHONE 20 MCG/ML EPID 250 ML B,
BUPIVACAINE,0.0625%+FENTANYL 2 MCG/ML EPID 100 ML BAG,
BUPIVACAINE,0.0625%+FENTANYL 2 MCG/ML EPID 250 ML BAG,
BUPIVACAINE,0.0625%+HYDROMORPHONE 20 MCG/ML EPID 250 ML,
BUPIVACAINE,0.08%+FENTANYL 2 MCG/ML EPID 250 ML BAG,
BUPIVACAINE,0.08%+HYDROMORPHONE 20 MCG/ML EPID 250 ML B,
BUPIVACAINE,0.08%+MORPHINE 50 MCG/ML EPID 250 ML BAG,
BUPIVACAINE,0.1%+FENTANYL 2 MCG/ML EPID 100 ML BAG,
BUPIVACAINE,0.1%+FENTANYL 2 MCG/ML EPID 250 ML BAG,
BUPIVACAINE,0.1%+FENTANYL 4 MCG/ML EPID 250 ML BAG,
BUPIVACAINE,0.1%+FENTANYL 5 MCG/ML EPID 250 ML BAG,
BUPIVACAINE,0.1%+HYDROMORPHONE 2 MCG/ML EPID 250 ML BAG,
BUPIVACAINE,0.1%+HYDROMORPHONE 20 MCG/ML EPID 250 ML BA,
BUPIVACAINE,0.1%+MORPHINE 50 MCG/ML EPID 250 ML BAG,
BUPIVACAINE,0.104% in NS EPID 240 ML BAG,
BUPIVACAINE,0.125% in NS EPID 100 ML BAG,
BUPIVACAINE,0.125%+FENTANYL 2 MCG/ML EPID 100 ML BAG,
BUPIVACAINE,0.125%+FENTANYL 2 MCG/ML EPID 250 ML BAG,
BUPROPION,SR 100 MG TAB,WELLBUTRIN
BUPROPION,SR 150 MG TAB,WELLBUTRIN
BUPROPION,SR 150 MG XL TAB,WELLBUTRIN
BUPROPION,SR 300 MG XL TAB,WELLBUTRIN
BUSPIRONE,10 MG TAB,BUSPAR
CAFFEINE,ANHYDROUS USP POWDER 100 GM BTL,CAFFEINE POWDER
CAFFEINE,100 MG TAB.,WAKE UP
CAFFEINE CITRATE,INJ 20 MG/ML 3 ML VIAL *SPECIAL ACCESS,CAFFEINE
