GENERIC NAME,BRAND NAME,RESTRICTION CRITERIA
cabergoline,Dostinex,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA OR for prolactin suppression
cannabidiol+delta-9-tetrahydrocannabinol,Sativex,Restricted to complex/chronic pain or palliative care patients
capecitabine,Xeloda,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
carbetocin,Duratocin,Restricted to prevention of uterine atony and post-partum hemorrhage following elective caesarean section in women with one or more risk factors for post-partum hemorrhage and may be considered for urgent or emergent caesarean section
carboplatin,Paraplatin AQ,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
carmustine,BiCNU,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
caspofungin,Cancidas,Restricted to pediatric patients with fungal infections that are known or suspected to be resistant to fluconazole OR in pediatric patients intolerant to fluconazole
cefepime,Maxipime,Restricted for use as monotherapy in patients with chemotherapy-induced febrile neutropenia OR in patients with cystic fibrosis
cefoxitin,Mefoxin,Restricted to gynecological/obstetrical infections OR neonates/pediatrics OR infections due to Mycobacterium abscessus
cetirizine,Reactine,Restricted to pediatrics
cetuximab,Erbitux,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
chlorambucil,Leukeran,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
ciclesonide,"Alvesco, Omnaris",Restricted to patients 6-18 years old OR HIV/AIDS patients with HAART (highly active anti-retroviral therapy)
cinacalcet,Sensipar,Restricted to indications outlined by BCPRA AND patients who are registered with BCPRA
cisplatin,"Platinol, Platinol A-Q",Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
cladribine,Leustatin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
clodronate,"Bonefos, Ostac",Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
cobicistat+emtricitabine+elvitegravir+tenofovir,Stribild,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
colistimethate (colistin),Coly-Mycin,Restricted to treatment of pneumonia in cystic fibrosis patients
collagenase,Santyl,Restricted to debridement of dermal ulcers
crizotinib,Xalkori,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
cyproterone,Androcur,Restricted to forensic patients
cytarabine,Cytosar,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
dabigatran,Pradax,Restricted to continuity of care for patients receiving dabigatran prior to admission
dabrafenib,Tafinlar,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
dacarbazine,DTIC,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
dactinomycin,Cosmegen,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
danaparoid,Orgaran,Restricted for prophylaxis and treatment of venous thromboembolism (VTE) in patients with heparin induced thrombocytopenia (HIT)
daptomycin,Cubicin,Restricted to infections caused by gram positive organisms that are resistant to vancomycin and linezolid OR in patients intolerant to vancomycin and linezolid.
darbepoetin,Aranesp,Restricted to indications outlined by BCPRA AND patients who are registered with BCPRA
darunavir,Prezista,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
dasatinib,Sprycel,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
daunorubicin,Cerubidine,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
degarelix,Firmagon,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
delaviridine,Rescriptor,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
dexmedetomidine,Precedex,"Restricted to use in Intensive Care Unit, Cardiac Surgery Intensive Care Unit and High Acuity Unit for patients with the following criteria:"
,,Post-operative cardiovascular/vascular surgery patients requiring mechanical ventilation OR
,,"Patients who are being mechanically ventilated with confirmed delirium, and who are refractory, or have had an inadequate response, to a trial of propofol and/or antipsychotic agent OR"
,,Patients in whom extubation is anticipated within 24-hours (i.e. approximate duration of dexmedetomidine use limited to 24 hours) OR
,,Sedation for invasive procedures or awake fibre-optic intubation in critical care patients for whom other agents are not appropriate due to lack of efficacy or adverse effects
dexrazoxane,"Zinecard, Cardioxane",Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
didanosine,Videx-EC,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
digoxin immune fab,Digibind,Restricted to use approved by BC Drug and Poison Information Center (DPIC) (part of BC Poison Control Antidote Replacement Programme)
docetaxel,Taxotere,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
dolutegravir,Tivicay,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
donepezil,Aricept,PharmaCare Alzheimer's Drug Therapy Initiative (ADTI) approval is required for new starts in Acute and Residential Care OR continuation of treatment in Residential Care.  UNRESTRICTED for continuation of prior to admission therapy in Acute Care.
doxorubicin,Adriamycin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
doxorubicin pegylated liposomal,Caelyx,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
efavirenz,Sustiva,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
efavirenz+emtricitabine+tenofovir,Atripla,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
emtricitabine + rilpivirine + tenofovir,Complera,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
emtricitabine+tenofovir,Truvada,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
enalapril,Vasotec,Restricted to pediatrics
enfuvirtide,Fuzeon,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
enoxaparin,Lovenox,Restricted to major orthopedic trauma OR spinal cord injury OR acute coronary syndrome (ACS) OR cancer patients OR pediatrics.
entecavir,Baraclude,Restricted to indications outlined by BCTS
enzalutamide,Xtandi,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
epirubicin,Pharmorubicin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
epoetin alfa,Eprex,Restricted to indications outlined by BCPRA AND patients who are registered with BCPRA OR to patients pre-approved by BCTS (for cost reimbursement)
epoprostenol,Flolan,"Restricted to treatment of pulmonary arterial hypertension (PAH), in patients who have had an inadequate response and/or a contraindication to the non-prostanoid therapies OR aerosolized epoprostenol for hypoxemia secondary to acute respiratory distress syndrome (ARDS) "
eribulin,Halaven,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
erlotinib,Tarceva,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
ertapenem,Invanz,"Restricted to treatment of documented or suspected infections, involving multi-drug resistant organisms in outpatient or ambulatory setting, where other agents (e.g. piperacillin-tazobactam, ticarcillin-clavulanate, ceftazidime, imipenem) cannot be used due to intolerance, resistance or inconvenience in the ambulatory setting."
escitalopram,Cipralex,Restricted to continuity of care for patients receiving escitalopram prior to admission
esomeprazole,Nexium,Restricted to NG use or dysphagia patients
estramustine,"Emcyt, Estracyt",Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
etidronate+calcium,Didrocal,Restricted to residential care
etoposide,Vepesid,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
etravirine,Intelence,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
everolimus,Afinitor,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
exemestane,Aromasin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
ferumoxytol,Feraheme,Restricted to the following indications:
,,BCPRA Registered chronic kidney disease patients who are not on dialysis and intolerant to or inadequately treated with oral iron
,,Patients who are dialyzing at home:
,,Peritoneal dialysis patient inadequately treated with oral iron
,,Home hemodialysis patient inadequately treated with oral iron and are not self administering intravenous iron
,,Patients who are being dialyzed in a dialysis facility (in- centre or community) and have demonstrated adverse events with and so precludes further treatment with other available intravenous irons
,,OR
,,Iron deficiency anemia patients with prior adverse reaction to alternative intravenous iron preparation
filgrastim,Neupogen,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA OR to approval of the Centre for Excellence (CFE) in HIV/AIDS OR Cell Separator Unit donors
fludarabine,Fludara,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
fludarabine,Fludara,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
fluorouracil,"5-FU,Efudex",Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
flutamide,Euflex,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
fluvastatin,Lescol,Restricted to HIV/AIDS patients with HAART (highly active anti-retroviral therapy)
fomepizole,Antizol,Restricted to use approved by BC Drug and Poison Information Center (DPIC) (part of BC Poison Control Antidote Replacement Programme)
fondaparinux,Arixtra,Restricted to unstable angina (UA) OR non-ST elevation myocardial infarction (NSTEMI) OR medically managed patients with ST elevation myocardial infarction (STEMI) [not treated with percutaneous coronary intervention (PCI) or thrombolysis] OR prophylaxis and treatment of venous thromboembolism (VTE) in patients with heparin induced thrombocytopenia (HIT)
fosamprenavir,Telzir,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
fosaprepitant,Emend IV,Restricted to BCCA protocols for prevention of nausea and vomiting in patients receiving highly emetogenic chemotherapy who are unable to swallow oral tablets
fosfomycin,Monurol,Restricted to treatment of acute uncomplicated cystitis caused by susceptible organisms with demonstrated resistance and/or intolerance to all other oral agents
fosphenytoin,Cerebyx,Restricted to pediatrics
galantamine,Reminyl,PharmaCare Alzheimer's Drug Therapy Initiative (ADTI) approval is required for new starts in Acute and Residential Care OR continuation of treatment in Residential Care.  UNRESTRICTED for continuation of prior to admission therapy in Acute Care.
ganciclovir,Cytovene,"Restricted to use in HIV/AIDS, transplant, hematology, oncology, ophthalmology patients, or for congenital cytomegalovirus"
gefitinib,Iressa,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
gemcitabine,Gemzar,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
goserelin,Zoladex LA,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
idarubicin,Idamycin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
ifosfamide,Ifex,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
imatinib,Gleevec,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
imipenem+cilastatin,Primaxin,"Restricted to treatment of documented or suspected infections involving multi-drug resistant organisms where other agents (e.g. piperacillin-tazobactam, ticarcillin-clavulanate, ceftazidime) cannot be used due to intolerance or resistance"
indinavir,Crixivan,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
insulin detemir,Levemir,Restricted to pediatric patients with diabetes mellitus
interferon alfa (compounded from IV),,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
interferon alfa-2b,Intron-A,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
ipilimumab,Yervoy,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
irinotecan,Camptosar,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
isotretinoin,Accutane,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
lacosamide,Vimpat,Restricted to the following criteria:
,,Adjunctive therapy for medically refractory partial-onset epilepsy
,,"Adjunctive therapy for refractory status epilepticus where other suitable anti-epileptic agents (such as phenytoin, midazolam, phenobarbital, levetiracetam) have been ineffective, not tolerated or not appropriate."
,,Continuity of care for patients receiving lacosamide for epilepsy prior to admission.
,,Lacosamide IV is restricted to patients unable to take lacosamide PO
lamivudine,3TC,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS OR hepatitis B prophylaxis in patients with a proven-negative HIV test who are immunocompromized (solid organ transplant (SOT) or bone marrow transplant (BMT) or chemotherapy) OR treatment in those with liver failure due to Hepatitis B.
lamivudine+zidovudine,Combivir,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
lansoprazole,"Prevacid, Fastabs",Restricted to pediatrics
lanthanum carbonate,Fosrenol,Restricted to indications outlined by BCPRA AND patients who are registered with BCPRA
lapatinib,Tykerb,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
lenalidomide,Revlimid,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
letrozole,Femara,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
leucovorin,Lederle Leucovorin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
leuprolide,Lupron,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
leuprolide (depot),"Eligard, Lupron Depot",Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
levocarnitine,Carnitor,Restricted to metabolic disorders
linagliptin,Trajenta,Restricted to combination treatment for type 2 diabetes mellitus when insulin NPH is not an option AND after inadequate glycemic control on maximum tolerated doses of metformin AND a sulfonylurea
linezolid,Zyvox,Restricted to infections caused by gram positive organisms that are resistant to vancomycin or in patients intolerant to vancomycin.
lomustine,CeeNU,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
lopinavir+ritonavir,Kaletra,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
lovastatin,Mevacor,Restricted to HIV/AIDS patients with HAART (highly active anti-retroviral therapy)
magnesium hydroxide+mineral oil,Magnolax,Restricted to patients with eating disorder
,,(Automatic Therapeutic Interchange to magnesium hydroxide suspension at same dose and frequency in other patients)
maraviroc,Celsentri,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
mechlorethamine,Mustargen,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
melatonin,RX Balance,Restricted to pediatrics
melphalan,Alkeran,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
meperidine,Demerol,Restricted to treatment of drug- or blood product-induced rigors and post-operative shivering
meropenem,Merrem,"Treatment of documented or suspected infections involving multi-drug resistant organisms where other agents (e.g. piperacillin-tazobactam, ticarcillin-clavulanate, ceftazidime, imipenem) cannot be used due to intolerance or resistance"
,,OR
,,"For the following indications/populations: CNS infections, cystic fibrosis, pediatric patients, febrile neutropenia"
methadone,Metadol,Restricted to physicians with a full or temporary methadone exemption for opioid dependence or for analgesia (as per Section 56 of the Controlled Drugs and Substances Act)
methyl aminolevulinate,Metvix,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
methylnaltrexone,Relistor,Restricted to patients with opioid-induced constipation where conventional laxative treatments have failed or are not appropriate for patient circumstances
micafungin,Mycamine,Restricted to fungal infections that are known or suspected to be resistant to fluconazole OR in patients intolerant to fluconazole
mitomycin,Mutamycin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA OR ophthalmic surgical procedures
mitotane,Lysodren,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
mitoxantrone,Novantrone,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA OR to treatment of multiple sclerosis OR to treatment of neuromyelitis optic (NMO or Devic's syndrome)
mometasone,Nasonex,Restricted to pediatrics age 3 to 12
mycophenolate mofetil,Cellcept,Restricted to solid organ transplant (SOT) OR bone marrow transplant (BMT) OR to indications outlined by BC Provincial Renal Agency (BCPRA) BCPRA Glomerulonephritis Formulary
mycophenolate sodium,Myfortic,Restricted to indications outlined by BCTS.
,,The indications for Mycophenolate Sodium (Myfortic¬) will be as follows:
,,Patients who have intolerance to the gastro-intestinal side effects of CellCept¬.
,,Out-of-province patients who are receiving Myfortic¬ and have returned to British Columbia for follow-up
nelfinavir,Viracept,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
nevirapine,"Viramune, Viramune XR",Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
nifedipine,Adalat,Restricted to obstetric indications
nilotinib,Tasigna,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
nilutamide,Anandron,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
nitrazepam,Mogadon,Restricted to pediatrics
octreotide long acting,Sandostatin LAR,Restriced to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
omeprazole,Losec,Restricted to pediatrics OR pregnancy OR breastfeeding
ondansetron,Zofran,"Restricted to patients unable to tolerate other available dosage forms (tablet, liquid, injection)"
oseltamivir,Tamiflu,Restricted to approval of the Medical Health Officer (MHO) for prophylaxis of influenza-like illness (ILL). UNRESTRICTED for treatment of influenza-like illness (ILL).
oxaliplatin,Eloxatin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
paclitaxel,Taxol,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
paclitaxel-nab (nano albumin bound),Abraxane,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
paliperidone (Invega Sustenna),Invega Sustenna,Restricted to either
,,Continuation of prior to admission therapy OR
,,Paliperidone initiated by Psychiatry for patients who meet the following PharmaCare Special Authority criteria:
,,Management of the manifestations of schizophrenia or related psychotic disorders in:
,,Patients who have tried oral paliperidone or risperidone PLUS at least one other antipsychotic agent PLUS continue to be inadequately controlled at maximally-tolerated dose OR
,,Patients who are currently receiving a conventional depot antipsychotic PLUS experiencing significant side effects such as extrapyramidal symptoms or tardive dyskinesia OR
,,Patients with a history of non-adherence to antipsychotic medications resulting in important negative outcomes such as repeated hospitalizations
paliperidone (Invega),Invega,Restricted to intolerability of other antipsychotic agents
palivizumab,Synagis,Restricted to respiratory syncytial virus (RSV) prophylaxis as per provincial criteria
panitumumab,Vectibix,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
paraldehyde,,Restricted for use in emergency management of paediatric status epilepticus
paromomycin,Humatin,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
pazopanib,Votrient,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
peginterferon alfa-2a,Pegasys,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
pemetrexed,Alimta,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
"pentamidine isethionate(Pentacarinat,Pneumopent)","Pentacarinat(pentamidine isethionate), Pneumopent(pentamidine isethionate)",Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS OR for PCP prophylaxis in patients allergic or intolerant to cotrimoxazole
pertuzumab,Perjeta,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
phospholipid+surfactant-associated proteins,Bles (Bovine Lipid Extract Surfactant),Restricted to neonates
porfimer,Photofrin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
posaconazole,Posanol,Restricted to the prophylaxis or treatment of invasive fungal infections in patients 13 years of age and older who can tolerate a full fat meal for the following indications:
,,Prophylaxis of invasive fungal infections in:
,,"Neutropenic patients, where neutropenia is present for 10 days or longer, plus one of the following:"
,,"Colonized with Aspergillus species, and/or receiving corticosteroids>1mg/kg/day."
,,Acute Myeloid Leukemia or Myelodysplastic Syndrome receiving induction chemotherapy;
,,Acute lymphocytic leukemia
,,BurkittÍs Lymphoma
,,Allogeneic stem cell transplant patients with steroid- refractory graft-versus-host-disease treated with intensive immunosuppressive therapy
,,"Treatment of invasive fungal infections, including zygomycetes, in leukemia/bone marrow transplant patients:"
,,"Intolerant or resistant to other appropriate antifungals (e.g. amphotericin B, voriconazole, itraconazole, micafungin), or"
,,Where oral step down therapy is appropriate and cost effective
procarbazine,Matulane,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
quinagolide,Norprolac,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
rabies immune globulin,"Hyperrab, Imogam",Restricted to use approved by the Medical Health Officer
rabies vaccine,Imovax Rabies,Restricted to use approved by the Medical Health Officer
raltegravir,Isentress,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
raltitrexed,Tomudex,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
rasburicase,Fasturtec,Restricted to treatment of acute or at high risk of tumour lysis syndrome when other therapeutic options are not suitable
ribavirin,Virazole,Restricted to treatment of Respiratory Syncytial Virus (RSV) infections
rilpivirine,Endurant,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
risperidone,Risperdal Consta,Restricted to patients who have PharmaCare Special Authority approval
ritonavir,Norvir,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
rituximab,Rituxan,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA; OR adjunct therapy in kidney transplantation for refractory biopsy-proven antibody-mediated rejection; OR indications outlined by BCPRA AND patients who are registered with BCPRA
rivaroxaban,Xarelto,Restricted for continuation of therapy in patients who were on rivaroxaban prior to admission
,,OR
,,for prophylaxis of venous thromboembolism (VTE) following elective total hip replacement surgery (up to 35 days) or elective total knee replacement surgery (up to 14 days)
,,OR
,,Patients who meet the following criteria:
,,"At risk patients with non-valvular atrial fibrillation, for the prevention of stroke and systemic embolism AND in whom anticoagulation is inadequate following at least a 2 month trial of warfarin"
,,OR
,,"for whom anticoagulation using warfarin is contraindicated or not possible due to inability to regularly monitor the patient via International Normalized Ratio (INR) testing in the community (i.e. no access to INR testing services at a laboratory, clinic, pharmacy and at home)"
rivastigmine,Exelon,PharmaCare Alzheimer's Drug Therapy Initiative (ADTI) approval is required for new starts in Acute and Residential Care OR continuation of treatment in Residential Care.  UNRESTRICTED for continuation of prior to admission therapy in Acute Care.
rosuvastatin,Crestor,Restricted to HIV/AIDS patients with HAART (highly active anti-retroviral therapy)
ruxolitinib,Jakavi,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
saquinavir,Invirase,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
sevelamer,Renagel,Restricted to indications outlined by BCPRA AND patients who are registered with BCPRA
sildenafil,"Viagra, Revatio",Restricted to treatment of pulmonary arterial hypertension (PAH)
simvastatin,Zocor,Restricted to HIV/AIDS patients with HAART (highly active anti-retroviral therapy)
sirolimus,Rapamune,Restricted to solid organ transplant (SOT) OR bone marrow transplant (BMT)
SMOF lipid,SMOFlipid,Restricted to pediatric patients
sodium ferric gluconate complex,Ferrlecit,Restricted to indications outlined by BCPRA AND patients who are registered with BCPRA
sodium thiosulfate,,Restriced to the treatment of calciphylaxis
somatropin,Humatrope,Restricted to PharmaCare approved indications
